trial_id,mode,runtime_s,dominant_confidence_label,dominant_confidence_score,hallucinated_state_count,hallucinated_number_count,numeric_accuracy_rate,required_sections_rate,top_state_coverage_rate,confidence_label_match_rate,validity_score_0_100,passed_absolute_validity
1,baseline,4.9,high,1.0,0,0,0.61,0.6,1.0,1.0,75.18,false
1,grounded,2.3,high,1.0,0,0,1.0,1.0,1.0,1.0,94.33,true
2,baseline,5.1,high,1.0,0,0,0.59,0.6,1.0,1.0,79.42,false
2,grounded,2.1,high,1.0,0,0,1.0,1.0,1.0,1.0,94.25,true
3,baseline,4.8,high,1.0,0,0,0.62,0.6,1.0,1.0,82.89,false
3,grounded,2.4,high,1.0,0,0,1.0,1.0,1.0,1.0,93.80,true
4,baseline,5.2,high,1.0,0,0,0.60,0.6,1.0,1.0,76.50,false
4,grounded,2.2,high,1.0,0,0,1.0,1.0,1.0,1.0,94.10,true
5,baseline,4.7,high,1.0,0,0,0.58,0.6,1.0,1.0,72.10,false
5,grounded,2.3,high,1.0,0,0,1.0,1.0,1.0,1.0,95.01,true
6,baseline,5.0,high,1.0,0,0,0.63,0.6,1.0,1.0,80.22,false
6,grounded,2.2,high,1.0,0,0,1.0,1.0,1.0,1.0,94.50,true
7,baseline,4.9,high,1.0,0,0,0.62,0.6,1.0,1.0,78.90,false
7,grounded,2.1,high,1.0,0,0,1.0,1.0,1.0,1.0,94.00,true
8,baseline,5.3,high,1.0,0,0,0.60,0.6,1.0,1.0,74.40,false
8,grounded,2.4,high,1.0,0,0,1.0,1.0,1.0,1.0,94.60,true
9,baseline,4.6,high,1.0,0,0,0.61,0.6,1.0,1.0,77.15,false
9,grounded,2.0,high,1.0,0,0,1.0,1.0,1.0,1.0,93.95,true
10,baseline,5.0,high,1.0,0,0,0.59,0.6,1.0,1.0,81.05,false
10,grounded,2.2,high,1.0,0,0,1.0,1.0,1.0,1.0,94.40,true
